Company_ID,Company_Name,Industry,Country,Reporting_Year,Revenue_Million_USD,Employee_Count,Carbon_Emissions_tCO2,Renewable_Energy_Percent,Waste_Recycled_Percent,Water_Usage_ML,Environmental_Score,Gender_Diversity_Percent,Employee_Satisfaction_Score,Training_Hours_Per_Employee,Community_Investment_Million,Social_Score,Board_Independence_Percent,Ethics_Compliance_Score,Audit_Score,Governance_Score,ESG_Rating,Overall_ESG_Score
ESG100010,Casey Ltd,Finance,Canada,2026,1870.53,15356,,63.35,53.58,460.55,88.47,26.04,2.68,4.08,59.09,77.43,21.33,65.85,45.85,75.16,AAA,42.21
ESG100011,Cooper-Green,Telecom,Canada,2026,3470.14,41760,38734.86,93.67,13.75,,37.94,56.23,8.9,25.79,,87.21,,67.08,46.93,36.52,A,92.81
ESG100012,"Hall, Baldwin and Moore",Energy,Australia,,4507.07,13830,63346.84,33.9,,3632.52,92.8,54.35,8.02,64.2,8.41,,91.88,72.45,30.64,37.1,B,
ESG100013,Blanchard and Sons,Healthcare,USA,2021,75.05,35105,16164.72,54.87,69.19,3263.29,,45.61,3.14,32.54,,75.47,87.94,76.03,69.78,36.56,B,
ESG100014,Farmer-Holmes,Finance,,2026,1362.75,24967,24474.57,97.3,39.31,4461.31,74.18,49.74,5.52,,49.25,43.67,77.8,49.65,,75.18,A,42.4
ESG100015,Mercer PLC,Finance,,2019,4705.27,15110,95397.46,91.49,37.02,,94.98,31.41,9.7,96.36,85.3,50.61,50.81,89.58,52.18,41.86,AAA,68.98
ESG100016,Griffin Inc,Retail,Singapore,2023,4683.97,4437,69633.38,57.01,9.72,,99.3,17,5.66,87.74,,78.79,,55.16,50.55,,AA,86.71
ESG100017,Steele and Sons,,Germany,,4342.01,26028,91332.73,51.13,50.15,,75.5,,8.16,,33.8,56.29,27.52,70.48,32.52,,B,67.99
ESG100018,Watson Group,Transportation,UK,2023,1468.38,9250,59124.24,3.05,3.73,4114.78,55.21,16.35,5.7,77,,73.6,26.83,33.62,67.19,67.84,AA,74.62
ESG100019,Smith LLC,Healthcare,Singapore,2025,3644.15,23823,97587.62,51.63,32.3,3977.98,48.96,31.95,1.71,2.54,96.26,88.52,75.68,58.63,42.13,,AA,47.52
ESG100020,Cabrera LLC,Energy,UAE,2026,2768.67,49630,71488.13,66.02,27.99,4774.78,81.65,,6.51,41.96,24.77,54.92,80.63,31.01,38.13,33.22,AAA,32.85
ESG100021,"Copeland, Turner and Lopez",Manufacturing,UK,2021,4284.53,44696,70395.42,,,2463.16,63.14,,4.9,39.85,61.59,74.46,23.62,56.22,73.81,65.22,BBB,89.95
ESG100022,"Zamora, Collins and Spencer",Manufacturing,,2025,3310.53,39152,16377.15,,64.24,142.29,71,57.01,,38.82,64.33,62.08,63.65,95.9,57.03,97.28,BBB,93.37
ESG100023,Jackson LLC,Healthcare,India,2026,1019.17,44776,7029.19,10.08,1.82,481.27,77.81,,3.87,84.49,,87.01,42.55,38.27,78.77,74.03,BB,91.42
ESG100024,Blake Ltd,Healthcare,Australia,,3688.6,19334,80367.74,28.2,17.74,,86.48,59.53,4.71,37.2,77.64,53.86,94.46,90.09,60.03,82.56,BBB,82.82
ESG100025,"Taylor, Lewis and Torres",Energy,UAE,,560.46,47423,,50.53,82.65,1607.05,,29.46,,90.54,9.13,52.35,96,,,74.23,B,61.39
ESG100026,,Healthcare,UK,2026,1501.39,41079,,67.25,75.24,3959.98,85.27,14.56,5.45,5.76,54.95,60.91,91.02,54.56,38.19,40.01,A,83.31
ESG100027,Hale Inc,,UK,2024,3110.18,10687,10202.16,8.41,,373.09,87.53,45.31,1.73,8.48,98.66,56.2,49.65,86.9,96.31,99.02,BB,82.74
ESG100028,Kennedy and Sons,Technology,Australia,2026,1912.48,1376,8441.72,77.71,55.84,2126.87,93.44,15.56,,1.14,46.87,33.94,29.51,38.23,75.44,,AAA,70.84
ESG100029,,Retail,Canada,,4812.75,3896,37549.57,28.57,86.86,1125.74,97.43,10.61,9.73,4.32,89.11,66.94,,35.17,68.77,97.85,AA,66.62
ESG100030,,Manufacturing,USA,2026,,4635,69605.29,45.45,62.76,2925.73,93.08,12.27,3.53,95.04,89.03,61.9,69.61,49.42,43.17,62.46,BB,54.73
ESG100031,Dillon Ltd,Energy,UK,2026,,36131,7865.69,97.44,98.62,3493.83,67.53,25.48,8.32,,16.26,93.76,85.8,96.49,80.8,72.94,AA,59.28
ESG100032,Smith-Wright,Healthcare,Singapore,,4667.01,35443,86619.78,4.52,2.64,1888.55,,59.36,2.35,59.41,38.09,97.89,87.37,88.68,62.81,59.04,B,49.14
ESG100033,"Duke, Cantrell and Blair",,Canada,2025,329.06,44119,86485.77,81.29,99.97,4983.22,68.88,48.45,9.5,84.96,24.73,61.54,30.33,96.78,,46,B,77.02
ESG100034,,Retail,UAE,2026,3109.73,8030,35880.46,11.36,67.16,2606.34,84.06,,8.67,55.19,56.09,91.37,,39.38,32.01,82.86,AA,73.42
ESG100035,"Bailey, Duncan and Gutierrez",Finance,USA,2024,3535.19,1478,,13.64,1.45,1759.43,71.29,29.61,4.94,,34.83,65.98,82.69,,,90.37,BB,96.47
ESG100036,"Flynn, Martinez and Brown",Finance,Germany,2019,778.01,4752,92666.1,,,2301.09,98.6,34.63,3.96,63.34,24.01,35.31,30.31,38.96,40.63,39.72,B,74.86
ESG100037,"Collins, Stewart and Harris",Technology,,2026,950.31,2158,34632.16,,47.4,3341.11,42.06,19.61,1.37,16.89,27.86,42.39,27.1,38.44,62.25,44.44,,55.5
ESG100038,Mccarthy-Stone,,,2023,2541.92,43942,69070.44,3.93,79.94,3143.22,35.72,53.68,9.29,,,86.43,79.86,,44.65,,,63.92
ESG100039,,Finance,UK,2026,3110.36,16025,36954.47,46.25,74.75,,47.67,45.67,9.06,51.17,53.21,37.5,55.79,67.28,46.97,48.85,,56.41
ESG100040,Harris Ltd,,Germany,2026,149.35,6452,,21.14,32.75,607.61,92.34,39.68,7.11,78.92,49.84,36.08,62.97,71.08,82.18,60.22,B,38.93
ESG100041,Taylor-Davis,Telecom,Australia,2025,1454.69,27041,,64.59,57.08,1786.92,99.06,40.29,3.14,10.18,15.29,47.22,32.85,43.06,49.96,42.14,BBB,92.77
ESG100042,Mcintosh-Barber,Technology,,2019,,26486,52498.69,41.04,,,57.85,58.47,8.79,81.71,25.79,41.96,73.49,95.06,68.97,70.01,B,49.6
ESG100043,"Peters, Moss and Torres",Retail,USA,2022,,,18785.67,,42.54,2542.98,46.97,15.74,6.5,28.86,58.12,,58.49,67.28,33.63,53.56,AA,39.41
ESG100044,Hayes-Colon,,UK,2025,363.71,12125,98997.03,32.24,80.99,1280.66,,48.01,6.36,47.16,41.18,54.42,94.36,,97.55,38.7,,
ESG100045,Morse Ltd,Transportation,Germany,2026,4694.79,29141,,6.65,74.11,2876.62,88.93,16.99,8.16,20.16,16.37,41.5,85.17,76.56,66.61,55.12,BB,91.4
ESG100046,Pearson-Richardson,Manufacturing,India,2019,1992.6,6212,81678.28,43.91,37.69,2318.77,,,5.52,23.22,89.96,56.87,63.48,93.45,73.7,38.18,AA,95.79
ESG100047,Palmer-Kelley,Energy,Singapore,2026,,31646,33557.07,13.93,,3104.16,67.34,54.69,,15.17,31.17,,79.52,32.35,69.89,83.37,AA,91.37
ESG100048,"Harvey, Keller and Greene",Telecom,India,,1743.3,,82143.6,11.06,84.65,,57.81,49.86,2.35,22.93,72.23,80.4,71.29,78.58,67.99,,AAA,54.2
ESG100049,,Telecom,Canada,2026,948.91,,90854.21,58.34,40.09,,96.31,17.67,6.28,50.59,61.15,,89.77,95.25,69.56,78.77,BBB,
ESG100050,Evans-Burton,Transportation,UK,2022,3550.83,19545,15338.65,57.63,60.67,2126.41,,56.72,9.33,45.08,11.32,98.94,87.11,38.73,,,AA,66.32
ESG100051,"Kim, Todd and Ingram",Technology,India,2024,2976.81,3846,39960.37,5.48,33.52,4016.24,30.32,26.67,,53.74,91.99,54.24,47.76,81.63,61.66,45.72,AAA,
ESG100052,Calderon-Mendoza,Transportation,UK,,747.24,,,,41.89,,55.37,39.03,6.69,1.31,66.35,42.46,96.89,40.41,,35.97,AAA,99.78
ESG100053,Johnson-Farmer,Energy,USA,2026,2535.87,44350,59578.96,6.71,75,1057.43,92.86,20.26,2.72,3.65,47.21,69.54,25.26,84.29,61.73,66.71,AA,
ESG100054,,Telecom,USA,2022,2033.78,38040,56008.07,15.52,18.19,4310.31,96.23,,3.44,64.4,40.87,31.78,32.49,80.12,76.12,31.9,BB,45.54
ESG100055,"Hines, Terry and Garner",Technology,USA,2025,1193.82,43181,67222.09,1.97,10.41,4001.58,42.5,42.64,3.14,9.94,24.32,80.56,,88.12,,76.77,BB,44.35
ESG100056,"Lewis, Cooper and White",Retail,Canada,2022,1501.08,,89643.95,1.3,,1047.35,31.86,19.07,6.25,42.14,89.27,87.22,47.35,48.16,56.58,71.32,B,48.76
ESG100057,"Baxter, Love and Knight",Retail,Germany,2023,3139.54,26038,41000.22,55.2,43.61,,96.39,48.18,2.26,86.85,48.74,92.62,83.99,,31.57,48.81,AA,67.91
ESG100058,Duran Ltd,,UAE,2024,3185.72,,25862.98,13.94,83.49,,66.8,18.58,3.45,1.84,91.43,38.24,66.12,49.18,68.79,75.6,,88.08
ESG100059,"Kane, Bridges and Perez",Technology,UAE,2026,1071.79,4901,1198.48,13.69,90,4370.71,71.82,40.03,6.99,17.54,91.44,59.31,50.65,66.32,33.29,,BB,
ESG100060,,Finance,Canada,,459.85,22972,60354.9,24.53,38.93,1450.58,54.9,45.95,3.67,56.64,47.61,,94.95,,45.05,32.18,AAA,48.36
ESG100061,Graham-Chen,Finance,Australia,2023,2995.64,10438,5237.44,49.64,59.68,,83.96,15.33,1.68,72.82,49.55,78.19,54.79,47.25,87.34,85.96,BBB,78.63
ESG100062,,,India,2023,1397.12,43575,59064.04,36.1,9.16,4587.39,39.58,57.51,5.01,18.51,54.19,91.11,78.58,86.46,,78.46,AAA,89.44
ESG100063,"Garcia, Green and Hicks",Energy,Canada,2026,1285.86,7114,48993.55,22.12,98.77,4720.86,,45.28,9.33,18.06,56.79,94.08,,78.82,50.81,94.71,B,97.97
ESG100064,Salazar LLC,Energy,Canada,,4724.12,39738,,86.2,84.45,1602.31,88.02,11.85,6.37,23,12.06,35.39,,53.79,,34.57,AA,52.07
ESG100065,Stout-Castillo,Retail,,2023,2720.48,33222,79093.24,31.88,62.59,4431.03,73.11,21.65,1.22,87.01,2.13,91.23,62.31,95.73,85.91,99.86,BBB,54.55
ESG100066,Gonzalez-Mason,Healthcare,India,2026,3847.58,41668,40252.9,47.99,62.75,4369.65,98.89,48.41,4.76,42.14,73.76,46.71,,54.82,50.11,50.74,BBB,46.35
ESG100067,Smith PLC,Healthcare,India,2019,258.36,21959,1885.61,98.77,42.78,1927.79,77.58,,9.55,78.63,8.94,,90.33,96.13,62.72,72.94,AA,41.69
ESG100068,Mitchell-Wolfe,Healthcare,UK,2026,4956.28,36254,23244,,64.96,3042.61,65.89,21.53,2.59,22.05,,84.57,48.01,34.05,97.84,91.87,B,94.94
ESG100069,White Group,Telecom,India,2026,4974.79,5031,17472.14,39.62,75.82,,40.77,50.79,3.02,22.38,53.7,71.51,,36.4,91.42,,,
ESG100070,"Garcia, Webb and Murphy",Energy,,2024,4449.3,38275,95569.58,,80.95,,68.56,14.35,4.68,37.27,25.98,80.64,59.67,35.67,,77.83,BB,35.33
ESG100071,,Energy,,2021,4263.47,2841,49565.14,48.06,59.24,4125.16,54.35,43.9,6.09,26.7,87.86,,72.68,,90.71,79.59,A,88.59
ESG100072,Ellis PLC,Retail,,2024,3502.48,13867,68046.06,61.86,75.27,801.44,91.66,53.59,1.26,82.58,12.89,53.46,79.48,41.25,87.26,88.25,B,65.52
ESG100073,"Hall, Butler and Jones",Finance,USA,2024,81.61,36792,,61.69,98.12,3162.75,48.19,41.7,5.86,77.98,,83.27,63.3,97.41,,74.28,BBB,95.24
ESG100074,Brown Inc,Energy,Germany,2021,557.42,11703,93729.13,68.79,6.78,,79.57,,6.24,34.59,,33.2,,98.14,97.82,,,39.11
ESG100075,"Love, Hart and Lucas",,,2024,3803.4,27082,2556.23,2.21,32.36,,83.93,44.16,5.01,27.36,,59.83,56.11,41.45,85.64,78.56,,45.45
ESG100076,,Finance,Canada,2021,457.79,46058,68081.88,65.45,27.33,4754.81,40.57,31.62,,41.97,63.85,57.83,41.94,98.88,58.65,92.59,AAA,46.1
ESG100077,Brooks and Sons,Telecom,India,,1104.87,14677,3210.29,,36.85,4323.15,63.12,58.41,2.67,86.86,77.66,83.96,87.58,83.27,73.84,39.19,AA,
ESG100078,"Serrano, Lara and Espinoza",Transportation,Australia,2023,4608.2,15015,61703.37,79.65,48.15,595.37,38.76,44.28,4.87,20.05,49.16,34.49,66.56,48.83,85.83,51.73,AA,61.87
ESG100079,Bowman PLC,Technology,Germany,2025,107.52,21612,7337.44,39.25,47.99,3004.1,50.42,44.75,8.74,,,63.64,28.39,46.94,99.07,39.97,A,64.92
ESG100080,,Manufacturing,Canada,,3109.87,42140,70276.25,55.96,0.98,1639.04,66.24,14.39,4.16,3.32,7.86,57.78,30.62,69.73,78.26,86.04,BB,44.01
ESG100081,"Bridges, Gonzales and Hamilton",Telecom,Australia,2019,879.04,7659,,63.64,70.65,167.61,95.53,,5.87,70.91,,79.99,84.14,,,,A,92.64
ESG100082,"Johnson, King and Chandler",Energy,Canada,2019,2760.58,7204,81748.05,45.23,64.36,,81.21,14.08,1.54,24.71,15.95,,37.54,,53.58,42.75,,85.28
ESG100083,"Garcia, James and Williams",Telecom,Australia,2024,,28699,49869.75,55.54,71.92,1149.99,99.74,58.74,6.85,19.95,68.02,35.05,22.45,48.04,62.38,90.78,BB,
ESG100084,Smith Inc,,,2022,3726.4,16793,42606.78,34.59,,4938.37,32.81,53.35,6.21,43.86,72.53,64.07,,93.05,59.52,,AAA,71.46
ESG100085,,Telecom,India,2022,4566.2,23969,21145.15,62.3,63.16,3668.23,39.21,,9.18,17.97,23.75,98,34.48,89.81,64.46,47.31,BBB,90.95
ESG100086,Thompson-Medina,Manufacturing,,2024,2254.26,43575,51530.25,35.92,59.3,825.98,57.38,58.47,3.32,65.67,32.52,84.14,30.47,,61.77,46.52,AAA,35.14
ESG100087,Moore LLC,Healthcare,Canada,2025,890.3,21476,52025.42,33.7,82.89,2160.13,47.41,40.86,7.36,16.7,16.76,32.57,78.91,76.47,63.22,89.09,BBB,86.4
ESG100088,Newton LLC,,UK,2022,,,86840.3,,11.19,1356.05,34,36.56,9.43,,12.21,61.65,94.71,52.13,65.51,32.91,B,40.38
ESG100089,Carlson Group,Telecom,UK,,4933.82,26712,96515.36,0.49,95.18,3199.21,90.75,32.74,5.64,48.88,66.69,39.78,22.4,51.56,79.33,44.13,BB,77.14
ESG100090,Gross-Parsons,Technology,Canada,2023,,13874,9480.68,67.26,44.38,4342.03,42.4,,8.54,94.46,68.32,64.8,,90.82,69.94,,BBB,
ESG100091,"Adams, Lynn and Lucas",,UAE,2026,,29077,,21.57,65.89,1975.38,,15.33,6.92,,4.82,,52.55,90.95,84.77,69.69,,81.69
ESG100092,Hudson PLC,Finance,UAE,2021,4398.65,43278,40473.62,32.7,66.76,4041.15,83.36,49.89,4.92,81.78,,,20.46,52.72,55.65,57.73,AAA,78.68
ESG100093,Hudson and Sons,,Australia,2026,1973.36,49326,44924.49,23.75,37.33,1144.08,35.12,40.17,7.01,61.95,46.35,56.59,89.07,66.34,63.54,31.79,AA,53.89
ESG100094,"Smith, Bowen and Gonzalez",Healthcare,Germany,2022,1931.97,9756,,58.02,53.36,3043.45,83.54,50.65,7.46,95.55,1.82,43.7,,,92.86,47.04,AAA,94.89
ESG100095,Castillo LLC,Technology,Germany,2026,348.32,40160,93450.16,,10.14,2434.5,47.97,24.24,3.77,80.3,53.92,51.79,,80.13,49.08,58.95,,
ESG100096,Fields-Johnson,Transportation,Singapore,2022,,47177,68143.67,18.14,52.52,3548.14,37.48,38.37,,96.29,48.35,86.42,64.02,33.04,74.32,,B,72.11
ESG100097,Cooke-Davis,Telecom,UAE,2025,4104.98,16089,,22.81,21.2,,58.77,51.99,9.1,35.34,,84.64,,87.58,59.66,76.73,AA,36.69
ESG100098,"Cole, Benson and Perry",Technology,USA,2025,3138.1,14441,45231.59,58.66,,3687,90.4,20.84,1.86,2.36,64.2,,63.74,,57.36,71.61,,
ESG100099,Shields-May,Transportation,India,2022,4939.54,8053,13730.33,69.51,40.43,2146.72,,44.62,9.92,12.84,10.41,80.7,66.27,49.19,35.56,36,BBB,92.59
ESG100100,Matthews Ltd,Energy,UAE,2024,999.74,49596,,,35.5,356.42,66.33,13.38,8.2,23.37,54,91.61,72.07,67.31,,53.31,BBB,76.86
ESG100101,"Le, Alvarez and Brandt",Telecom,,2021,,48836,66217.74,55.78,,2331.38,34.21,,9.62,17.53,69,44.07,62.87,36.77,61.53,82.93,BBB,
ESG100102,Jones-Smith,,Canada,2022,3341.31,41889,79565.45,92.72,23.46,2002.59,,59.62,9.34,54,84.2,66.47,69.89,36.24,82.87,38.94,A,87.82
ESG100103,Orozco Ltd,Transportation,,2023,,,70903.6,3.62,30.31,1322.93,55.21,14.38,9.43,55.38,30.55,,55.78,72.04,66.1,94.36,AAA,64.79
ESG100104,,,Germany,,4961.18,22110,85157.35,20.85,93.06,590.67,87.22,29.03,,86.81,80.59,85.3,44.37,35.66,58.21,42.15,A,78.65
ESG100105,"Garcia, Brown and Lee",Manufacturing,UK,,1763.19,15255,97563.46,64.1,82.25,671.3,90.34,56.14,,60.63,76.48,42.24,,57.91,40.25,55.73,BBB,34.77
ESG100106,"Rodriguez, Brown and Bray",Energy,Germany,2026,,27288,13603.11,96.31,54.95,4829.45,60.27,25.59,5.56,43.95,10.57,74.86,37.28,73.37,75.51,40.64,BBB,34.29
ESG100107,Duran and Sons,,UAE,2025,,,46034.06,,,298.32,,59.18,3.15,14.22,12.14,51.23,28.08,78.45,34.36,65.66,AA,
ESG100108,Nguyen LLC,Telecom,Singapore,2019,4079.15,37828,,30.63,62.39,2639.94,59.83,16.54,8.98,44.98,19.46,55.74,,87.93,81.35,,BBB,30.77
ESG100109,,Transportation,India,,,19669,,1.92,,3803.85,39.6,,2.94,1.21,24.12,98.31,84.12,,64.15,37.68,BBB,68.36
ESG100110,"Gomez, Kline and Benitez",Telecom,Germany,2026,2299.17,14480,84451.27,9.81,,758.74,52.73,,5.28,37.59,39.45,62.16,82.8,92.45,96.87,85.08,A,52.08
ESG100111,,Telecom,UAE,2019,,25584,43816.55,25.47,84.09,,93.12,33.07,6.73,65.94,89.51,74.57,69.11,34.67,66.29,40.51,A,81.62
ESG100112,Hernandez and Sons,Telecom,UK,2026,2585.5,8464,,4.17,8.48,3584.45,35.05,13.56,1.11,95.65,73.75,54.73,43.72,54.48,84.23,76.3,BB,
ESG100113,,Technology,Singapore,2019,911.84,5601,9929.73,66.03,,1332.58,31.47,14.11,9.71,29.54,76.92,73.73,50.56,44.4,38.5,73.05,B,
ESG100114,Smith-Gibson,Telecom,UK,,,12009,53077.18,4.2,96.85,3995.58,50.5,59,6.42,58.24,74.81,,72.52,,53.68,,AAA,45.72
ESG100115,Smith-Ball,Healthcare,,2024,1892.23,13971,43264.48,43.94,61.29,4715.95,46.85,16.08,2.78,88.69,,,85.28,90.3,,94.32,BBB,47.66
ESG100116,Woods-Campbell,,Australia,2025,3787.46,18335,46107.9,84.2,72.85,3884.47,75.93,18.87,,98.47,93.74,33.02,,39.22,80.82,87.24,BBB,
ESG100117,"Whitaker, Shields and Schneider",Healthcare,USA,2026,2553.97,1370,84086.23,73.28,54.22,2955.83,65.59,,6.09,68.89,87.33,74.54,80.89,41.21,62.31,30.65,B,47.27
ESG100118,"Young, Garcia and Leach",,Australia,2022,3645.99,42707,99181.81,9.92,40.15,,44.28,37.75,7.6,61.6,18.8,54.88,82.7,,30.37,83.27,AAA,32.47
ESG100119,"Stafford, Ortega and Hayes",Technology,India,2022,3741.38,13165,20327.81,95.81,36.79,1641.39,40.42,25.28,8.89,99.63,36.83,61.4,,92.03,71.51,57.41,AAA,58.88
ESG100120,"Marshall, Harrison and Turner",Energy,Germany,2021,3493.31,31135,421.5,,35.55,3973.04,36.51,39.41,5.33,,6.49,70.6,64.92,69.25,72.24,77.35,B,86.35
ESG100121,Thomas Ltd,,Germany,2026,1385.61,45940,82522.44,49.83,,302.17,53.4,49.24,7.37,78.86,51.73,60.81,31.8,52.97,60.38,36.2,A,45.44
ESG100122,,,UK,2026,3011.22,10832,73592.75,99.83,,3216.4,,41.81,8.07,11.83,40.99,88.79,50.71,70.03,71.14,42.91,A,55.36
ESG100123,Jordan LLC,,India,2023,,37835,,2.42,83.17,1372.62,66.27,24.94,,,42.97,91.09,87.35,43.03,86.19,,B,63.81
ESG100124,Pearson-Torres,Telecom,Singapore,2022,710.73,,8152.09,72.79,49.65,,81.07,48.28,2.43,61.02,,82.6,72.56,96.96,,,,49.75
ESG100125,Castillo-Schmidt,Finance,USA,,,44943,24773.18,90.63,24.95,1367.03,83.16,,7.99,,48.76,32.35,,93.45,,,BB,58.78
ESG100126,Spencer LLC,Manufacturing,India,2024,1769.35,35013,89993.35,,66.38,4817.34,69.21,56.84,1.47,41.88,26.02,81.16,98.5,47.96,75.79,43.87,BBB,69.57
ESG100127,Padilla-Roman,Retail,USA,2024,2346.47,929,97203.33,60.85,34.95,579.34,40.59,21.27,3.26,85.06,56.12,66.64,29.18,90.21,80.6,34.74,BBB,79.55
ESG100128,"Jacobson, Simmons and King",Transportation,USA,2025,2740.51,23836,8264.36,,,837.21,96.2,52.5,7.02,46.23,,75.57,63.63,34.36,,86.45,B,62.15
ESG100129,"Mcbride, Daniels and Lee",Transportation,UK,2025,307.19,11643,78649.19,20.14,,,53.12,47.84,5.67,20.49,87.78,,89.65,46.72,61.59,98.95,B,84.04
ESG100130,Miller-Thompson,Healthcare,,2026,184.48,28645,6613.94,46.39,90.92,2698.12,64.85,15.27,,82.21,38.04,,97.16,44.26,66.63,50.1,B,85.5
ESG100131,"Cohen, Mcguire and Henry",Healthcare,Australia,2022,,5779,63494.78,,39.6,4576.3,67.31,17.9,7.26,79.33,31.68,90,92.49,49.38,,39.85,A,
ESG100132,"Martinez, Mora and Tran",Transportation,Germany,2026,961.91,,89409.57,65.43,15.21,2207.21,73.07,,,80.36,50.52,97.7,53.42,98.89,76.75,74.43,BB,41.62
ESG100133,,Telecom,Australia,2019,4415.54,32494,42806.22,16.22,,2803.18,66.92,,,7.94,73.15,43.12,,87.33,67.86,79.72,A,52
ESG100134,"Wilson, Ryan and Pena",,UAE,2022,2382.28,,82181.53,45.93,35.78,2476.12,87.98,26.76,2.56,71.2,82.6,37.04,39.19,39.94,54.36,61.52,A,82.42
ESG100135,Hensley-Holmes,,Canada,2023,3273.18,36524,62130.76,35.24,84.14,2361.72,98.54,41.71,2.14,,32.51,78.04,25.57,42.24,89.9,45.9,AAA,88.59
ESG100136,"Maldonado, Garcia and Branch",Finance,USA,2022,1432.42,,64323.9,69.42,51.27,1533.5,44.89,11.66,3.74,65.32,93.83,90.98,81.29,85.19,76.55,48.22,BBB,93.5
ESG100137,"Young, Gray and White",Transportation,,2026,,,56088.02,11.1,44.71,2307.19,90.52,37.33,4.42,97.68,11.07,59.58,23.36,81.79,94.27,49.6,B,
ESG100138,"Rice, Campbell and Dillon",Transportation,UAE,2019,1496.48,6198,91085.94,,80.49,99.85,97.4,46.33,3.74,82.94,28.15,91.09,29.01,,67.85,36.76,A,46.93
ESG100139,,Finance,Singapore,2022,111.4,20167,46929.92,30.13,59.84,1493.22,50.99,47.16,1.43,90.29,85.23,76.75,67.46,,42.97,,B,46.77
ESG100140,,Retail,UAE,2024,,,3563.56,58.28,99.54,4279.92,66.5,13.18,8.48,59.9,11.49,36.57,92.77,76.84,,,B,
ESG100141,,,Australia,2026,2611.36,17854,,31.69,43.46,,72.13,54.63,4.99,60.71,63.13,71.42,76.21,,,37.3,A,56.92
ESG100142,Padilla LLC,Healthcare,Germany,2026,,47370,65257.2,95.05,60.07,3720.53,65.44,41.71,,,36.19,,23.65,39.8,49.38,98.01,AA,53.19
ESG100143,,Retail,USA,2021,2436.1,12652,19690.16,61.08,,1042.89,66.16,,1.07,,3.67,37.56,47.11,86.18,70.04,65.89,,50.54
ESG100144,"Hutchinson, Lam and Guerrero",Transportation,Canada,,4662.18,6688,39761.8,8.71,61.71,578.05,54.17,,8.87,,70.23,99.5,30.52,49.23,57.62,,AA,58.77
ESG100145,"Jones, Boyd and Bradley",Healthcare,,2024,4542.67,11859,71431.86,60.79,30.94,4120.71,96.85,51.06,1.01,63.64,5.11,48.03,,72.27,78.06,38.01,A,56.87
ESG100146,Flores and Sons,Technology,UK,,,3082,36968.4,12.1,41.89,3758.38,34.97,14.01,4.19,94.17,66.86,77.51,48.95,71.56,30.71,74.53,AAA,93.93
ESG100147,,Healthcare,UK,2026,3082.24,6823,87382.49,72.4,12.06,,34.65,36.7,2.28,1.17,42.2,50.65,58.88,70.4,33.06,,AAA,69.1
ESG100148,Avila-Carpenter,,UAE,2026,1748.68,28966,72944.43,65.23,84.56,3465.54,60.1,43.65,,30.63,,61.25,83.87,87.57,90.03,94.16,A,60.17
ESG100149,"Harrell, Parker and Davis",Energy,India,,1628.39,31408,,37.12,,3530.87,,,2.5,43.05,14.26,,47.67,40.81,31.78,75.21,AAA,74.58
